head_id,relation_id,tail_id
36860,1,38631
36483,1,32747
36860,2,34566
36483,2,42226
35161,3,34913
32187,3,34927
40634,3,34928
40634,3,34928
31897,3,34928
31897,3,34928
40357,3,39089
39382,3,39090
35709,3,34942
28302,3,34927
44389,3,34913
39679,3,34933
46050,3,34934
46040,3,34934
46052,3,34934
46043,3,34934
46051,3,34934
36644,3,34935
42208,3,34925
41001,3,34924
40120,3,34924
40970,3,39094
33693,3,39093
43920,3,34906
29035,3,34905
34053,3,34923
37756,3,34923
29181,3,34923
44658,3,34896
41824,3,34922
35192,3,34921
28689,3,34920
43168,3,34919
39405,3,34929
30080,3,39088
32339,3,39062
32339,3,39062
45044,3,39062
43018,3,34943
45963,3,34944
39293,3,34946
31543,3,34948
32839,3,39088
29011,3,34930
29168,3,34931
32225,3,34932
39679,3,34933
30738,3,34933
30265,3,39090
39382,3,39090
42172,3,34918
43304,3,39087
27296,3,39086
40445,3,39086
31921,3,39086
43596,3,39085
35626,3,39076
33567,3,34924
29242,3,34923
41644,3,34923
29616,3,39076
38167,3,39075
41736,3,39074
42346,3,34938
29024,3,34937
42597,3,34936
29338,3,34887
40989,3,34846
36558,3,34881
34945,3,34882
30497,3,34883
27450,3,34884
40562,3,34885
30245,3,34886
30245,3,34886
43504,3,34846
29388,3,34887
31891,3,34888
42229,3,34856
43400,3,34857
27504,3,34858
27964,3,34859
41204,3,34889
36861,3,34890
46074,3,34845
35460,3,34844
41326,3,34843
34897,3,34872
42001,3,34878
29148,3,34877
42958,3,34876
44716,3,34847
42546,3,34846
43516,3,34846
43940,3,34846
41901,3,34846
44287,3,34846
43684,3,34846
41526,3,34846
42449,3,34910
41873,3,34907
40984,3,34907
42836,3,34908
44355,3,34909
39375,3,34910
42719,3,34910
30245,3,34886
40634,3,34928
29058,3,34907
42034,3,34912
31899,3,34888
32257,3,34888
31899,3,34888
45181,3,34914
45417,3,34914
45748,3,34916
41841,3,39073
44998,3,34907
42247,3,34907
42533,3,34880
27921,3,34880
43042,3,34879
32204,3,34904
28846,3,34903
28044,3,34902
41333,3,34875
40045,3,34874
44658,3,34896
37934,3,34895
43063,3,34894
42769,3,34894
42261,3,34893
28436,3,39035
28256,3,39031
43818,3,39031
44070,3,39031
43509,3,39031
37029,3,39031
32754,3,39032
41588,3,39033
33976,3,39034
31016,3,39031
44888,3,39036
40215,3,39015
39098,3,39015
28054,3,38997
38076,3,38997
43317,3,38998
45690,3,39016
32206,3,39017
42239,3,39009
37350,3,39008
40491,3,39007
44421,3,39028
27582,3,39027
43613,3,39039
29603,3,39038
28662,3,39038
31219,3,39038
40135,3,39038
30843,3,39038
39152,3,39038
40489,3,39038
43201,3,39038
42351,3,39038
35714,3,38994
36961,3,39012
35341,3,39013
40173,3,39013
44997,3,39013
33676,3,39014
29253,3,39014
40032,3,39014
33085,3,39015
32856,3,39011
38244,3,38995
27269,3,38996
44275,3,38979
39621,3,38980
31196,3,38981
31303,3,38999
46170,3,39000
28662,3,39038
39960,3,39010
42534,3,38988
44145,3,38988
41237,3,38988
38618,3,39007
36065,3,39006
28725,3,39006
46079,3,39026
35806,3,39025
43642,3,39024
44561,3,39023
32517,3,39022
43120,3,39020
30785,3,39019
32749,3,39018
35518,3,39068
45632,3,34950
37262,3,34950
46006,3,34951
42628,3,39063
43546,3,39064
43550,3,39065
40000,3,39066
42047,3,39067
30842,3,39062
35862,3,39069
45616,3,39070
36780,3,39071
43569,3,39073
41492,3,39059
37686,3,39059
33751,3,39060
33028,3,39037
35907,3,39076
42635,3,39076
42903,3,39076
29239,3,39076
41380,3,39076
30210,3,39076
30987,3,39076
34041,3,39076
35637,3,39076
29253,3,39076
37212,3,39076
31107,3,39076
30734,3,34940
38394,3,34939
33687,3,34964
43043,3,39052
35199,3,39030
44885,3,34957
35076,3,34959
31916,3,39040
42104,3,39041
39887,3,39042
45268,3,39044
30204,3,39051
31633,3,39029
29209,3,39053
42383,3,39054
44888,3,39036
37642,3,39037
41219,3,39015
40201,3,39015
44607,3,39015
44187,3,34846
41335,3,39029
27478,3,34949
35834,3,34972
38906,3,34971
43466,3,34970
28910,3,34970
40364,3,34970
43970,3,34970
35709,3,34942
41423,3,28979
40653,3,34941
31834,3,34940
32830,3,34940
32025,3,39037
32726,3,39037
44942,3,39252
31230,3,39264
44619,3,39246
45169,3,39247
41301,3,39240
41301,3,39240
41301,3,39240
44557,3,39251
44752,3,39251
43659,3,39264
43750,3,39252
43853,3,39252
43750,3,39252
28435,3,39253
35133,3,39253
33747,3,39253
38121,3,39253
27345,3,39243
43825,3,39264
30111,3,39264
27683,3,39264
33959,3,39264
39724,3,39264
35873,3,39263
29196,3,39262
30857,3,39261
44427,3,39261
38242,3,39243
42571,3,39243
28397,3,39243
44290,3,39257
41508,3,39256
32391,3,34756
37511,3,39243
27522,3,39239
35761,3,34786
28786,3,34786
41323,3,34764
36930,3,39241
34030,3,39242
27278,3,39243
41263,3,39243
41422,3,39238
36158,3,39243
42611,3,39243
39642,3,39243
41969,3,39243
36835,3,39243
44224,3,39227
41216,3,39228
29047,3,34756
37639,3,39237
28705,3,39245
