epoch,step,train_loss,val_loss
0,49,0.5636603832244873,
0,99,0.5182570815086365,
0,145,,0.4164585471153259
1,149,0.34495556354522705,
1,199,0.33697429299354553,
1,249,0.3123588263988495,
1,291,,0.36589330434799194
2,299,0.270479291677475,
2,349,0.2539781332015991,
2,399,0.2726749777793884,
2,437,,0.34342119097709656
3,449,0.24239325523376465,
3,499,0.2511710822582245,
3,549,0.26301518082618713,
3,583,,0.3347949683666229
4,599,0.212446928024292,
4,649,0.22639043629169464,
4,699,0.23778797686100006,
4,729,,0.3299277424812317
5,749,0.22077175974845886,
5,799,0.22403962910175323,
5,849,0.2466675043106079,
5,875,,0.3245525658130646
6,899,0.21082791686058044,
6,949,0.2229161560535431,
6,999,0.21500064432621002,
6,1021,,0.3235373795032501
7,1049,0.20015834271907806,
7,1099,0.21630413830280304,
7,1149,0.23106664419174194,
7,1167,,0.3248368203639984
8,1199,0.21430836617946625,
8,1249,0.21652865409851074,
8,1299,0.22383496165275574,
8,1313,,0.32193446159362793
9,1349,0.2079455405473709,
9,1399,0.21837207674980164,
9,1449,0.23704731464385986,
9,1459,,0.32230615615844727
10,1499,0.23053818941116333,
10,1549,0.2302088737487793,
10,1599,0.2303934246301651,
10,1605,,0.32453274726867676
11,1649,0.22085696458816528,
11,1699,0.2384912371635437,
11,1749,0.2444343864917755,
11,1751,,0.3244922161102295
12,1799,0.2279747724533081,
12,1849,0.22855891287326813,
12,1897,,0.3241589367389679
13,1899,0.20410719513893127,
13,1949,0.21709641814231873,
13,1999,0.22348922491073608,
13,2043,,0.3216991722583771
